Log file created at 2014-05-01-16:05:28
1398960354.608054: executed: pan_18737, tilt_13062
1398960354.612235: executed: pan_18737, tilt_13030
1398960354.622214: executed: pan_18666, tilt_13030
1398960354.627066: executed: pan_18666, tilt_13014
1398960354.628561: executed: pan_18595, tilt_13014
1398960354.637228: executed: pan_18559, tilt_12983
1398960354.644308: executed: pan_18559, tilt_12951
1398960354.654592: executed: pan_18488, tilt_12935
1398960354.656484: executed: pan_18488, tilt_12904
1398960354.662222: executed: pan_18417, tilt_12904
1398960354.664053: executed: pan_18381, tilt_12904
1398960354.673513: executed: pan_18310, tilt_12872
1398960354.682454: executed: pan_18310, tilt_12856
1398960354.688344: executed: pan_18239, tilt_12856
1398960354.697743: executed: pan_18239, tilt_12825
1398960354.702596: executed: pan_18203, tilt_12825
1398960354.708333: executed: pan_18132, tilt_12825
1398960354.715901: executed: pan_18132, tilt_12809
1398960354.725117: executed: pan_18132, tilt_12777
1398960354.730641: executed: pan_18061, tilt_12777
1398960354.732655: executed: pan_18061, tilt_12746
1398960354.745564: executed: pan_18025, tilt_12730
1398960354.754230: executed: pan_17954, tilt_12698
1398960354.756458: executed: pan_17883, tilt_12698
1398960354.761341: executed: pan_17847, tilt_12698
1398960354.766193: executed: pan_17847, tilt_12682
1398960354.772449: executed: pan_17776, tilt_12651
1398960354.776477: executed: pan_17705, tilt_12651
1398960354.780506: executed: pan_17705, tilt_12619
1398960354.784717: executed: pan_17670, tilt_12619
1398960354.788196: executed: pan_17670, tilt_12603
1398960354.792224: executed: pan_17599, tilt_12603
1398960354.796222: executed: pan_17527, tilt_12572
1398960354.804462: executed: pan_17492, tilt_12556
1398960354.808337: executed: pan_17421, tilt_12556
1398960354.813098: executed: pan_17421, tilt_12524
1398960354.816363: executed: pan_17350, tilt_12524
1398960354.820208: executed: pan_17314, tilt_12500
1398960354.828631: executed: pan_17243, tilt_12500
1398960354.840319: executed: pan_17172, tilt_12500
1398960354.852343: executed: pan_17136, tilt_12500
1398960354.868364: executed: pan_17065, tilt_12500
1398960354.880571: executed: pan_16994, tilt_12500
1398960354.888475: executed: pan_16958, tilt_12500
1398960354.896379: executed: pan_16887, tilt_12500
1398960354.906663: executed: pan_16816, tilt_12500
1398960354.920091: executed: pan_16780, tilt_12500
1398960354.933366: executed: pan_16709, tilt_12500
1398960354.950333: executed: pan_16638, tilt_12500
1398960354.964096: executed: pan_16602, tilt_12500
1398960354.972458: executed: pan_16531, tilt_12500
1398960354.984329: executed: pan_16460, tilt_12500
1398960354.991989: executed: pan_16425, tilt_12500
1398960355.004348: executed: pan_16353, tilt_12500
1398960355.020370: executed: pan_16282, tilt_12500
1398960355.033858: executed: pan_16211, tilt_12500
1398960355.042556: executed: pan_16176, tilt_12500
1398960355.053176: executed: pan_16104, tilt_12500
1398960355.061079: executed: pan_16033, tilt_12500
1398960355.070814: executed: pan_15998, tilt_12500
1398960355.076246: executed: pan_15927, tilt_12500
1398960355.084242: executed: pan_15855, tilt_12500
1398960355.091932: executed: pan_15820, tilt_12500
1398960355.100233: executed: pan_15749, tilt_12500
1398960355.117444: executed: pan_15678, tilt_12500
1398960355.132428: executed: pan_15642, tilt_12500
1398960355.145856: executed: pan_15571, tilt_12500
1398960355.152753: executed: pan_15500, tilt_12500
1398960355.352853: executed: pan_15457, tilt_12500
1398960355.360330: executed: pan_15370, tilt_12500
1398960355.364388: executed: pan_15327, tilt_12500
1398960355.371774: executed: pan_15240, tilt_12500
1398960355.374062: executed: pan_15153, tilt_12500
1398960355.380044: executed: pan_15109, tilt_12500
1398960355.386757: executed: pan_15022, tilt_12500
1398960355.388344: executed: pan_14935, tilt_12500
1398960355.392342: executed: pan_14892, tilt_12500
1398960355.400124: executed: pan_14805, tilt_12500
1398960355.406227: executed: pan_14675, tilt_12500
1398960355.412300: executed: pan_14588, tilt_12500
1398960355.416237: executed: pan_14544, tilt_12500
1398960355.420235: executed: pan_14370, tilt_12500
1398960355.424232: executed: pan_14327, tilt_12500
1398960355.428230: executed: pan_14240, tilt_12500
1398960355.432899: executed: pan_14153, tilt_12500
1398960355.436195: executed: pan_14109, tilt_12500
1398960355.440559: executed: pan_14022, tilt_12500
1398960355.445442: executed: pan_13935, tilt_12500
1398960355.452186: executed: pan_13892, tilt_12500
1398960355.463020: executed: pan_13805, tilt_12500
1398960355.468238: executed: pan_13718, tilt_12500
1398960355.473701: executed: pan_13675, tilt_12500
1398960355.480384: executed: pan_13675, tilt_12556
1398960355.484321: executed: pan_13587, tilt_12556
1398960355.492224: executed: pan_13544, tilt_12556
1398960355.501959: executed: pan_13457, tilt_12556
1398960355.508460: executed: pan_13370, tilt_12556
1398960355.520300: executed: pan_13327, tilt_12556
1398960355.532354: executed: pan_13240, tilt_12556
1398960355.536200: executed: pan_13240, tilt_12572
1398960355.540350: executed: pan_13153, tilt_12572
1398960355.556493: executed: pan_13109, tilt_12572
1398960355.572454: executed: pan_13022, tilt_12572
1398960355.584355: executed: pan_12935, tilt_12572
1398960355.596440: executed: pan_12892, tilt_12572
1398960355.616063: executed: pan_12805, tilt_12572
1398960355.640537: executed: pan_12805, tilt_12603
1398960355.648319: executed: pan_12761, tilt_12603
1398960355.669040: executed: pan_12675, tilt_12603
1398960355.695071: executed: pan_12675, tilt_12619
1398960355.696658: executed: pan_12588, tilt_12619
1398960355.709048: executed: pan_12544, tilt_12651
1398960355.724581: executed: pan_12457, tilt_12682
1398960355.728945: executed: pan_12457, tilt_12698
1398960355.748934: executed: pan_12457, tilt_12730
1398960355.756502: executed: pan_12457, tilt_12746
1398960355.760225: executed: pan_12370, tilt_12746
1398960355.769808: executed: pan_12370, tilt_12777
1398960355.777315: executed: pan_12370, tilt_12809
1398960355.791566: executed: pan_12327, tilt_12825
1398960355.800355: executed: pan_12327, tilt_12856
1398960355.808290: executed: pan_12240, tilt_12856
1398960355.816102: executed: pan_12153, tilt_12872
1398960355.820435: executed: pan_12153, tilt_12904
1398960355.828217: executed: pan_12163, tilt_12940
1398960355.832276: executed: pan_12114, tilt_12937
1398960355.836304: executed: pan_12137, tilt_12995
1398960355.840302: executed: pan_12054, tilt_13028
1398960355.848816: executed: pan_11962, tilt_13041
1398960355.852204: executed: pan_11978, tilt_13079
1398960355.856354: executed: pan_11952, tilt_13132
1398960355.860199: executed: pan_11968, tilt_13169
1398960355.864410: executed: pan_11875, tilt_13182
1398960355.868195: executed: pan_11892, tilt_13219
1398960355.873230: executed: pan_11900, tilt_13237
1398960355.876190: executed: pan_11917, tilt_13274
1398960355.880554: executed: pan_11934, tilt_13310
1398960355.884338: executed: pan_11942, tilt_13328
1398960355.891998: executed: pan_11908, tilt_13361
1398960355.900268: executed: pan_11917, tilt_13379
1398960355.908233: executed: pan_11830, tilt_13408
1398960355.920226: executed: pan_11847, tilt_13444
1398960355.928069: executed: pan_11856, tilt_13461
1398960355.936309: executed: pan_11873, tilt_13496
1398960355.948821: executed: pan_11784, tilt_13524
1398960355.960326: executed: pan_11793, tilt_13542
1398960355.969786: executed: pan_11810, tilt_13576
1398960355.976286: executed: pan_11818, tilt_13593
1398960355.985197: executed: pan_11835, tilt_13627
1398960356.004575: executed: pan_11852, tilt_13660
1398960356.019712: executed: pan_11861, tilt_13677
1398960356.045560: executed: pan_11877, tilt_13710
1398960356.052273: executed: pan_11886, tilt_13726
1398960356.064450: executed: pan_11902, tilt_13759
1398960356.092159: executed: pan_11919, tilt_13791
1398960356.099819: executed: pan_11927, tilt_13807
1398960356.107601: executed: pan_11943, tilt_13839
1398960356.114681: executed: pan_11951, tilt_13855
1398960356.124477: executed: pan_11966, tilt_13886
1398960356.137141: executed: pan_11989, tilt_13933
1398960356.148402: executed: pan_12004, tilt_13964
1398960356.160212: executed: pan_12011, tilt_13979
1398960356.168452: executed: pan_12025, tilt_14009
1398960356.179743: executed: pan_12039, tilt_14039
1398960356.184199: executed: pan_12046, tilt_14054
1398960356.192316: executed: pan_12058, tilt_14083
1398960356.208185: executed: pan_12071, tilt_14112
1398960356.228235: executed: pan_12077, tilt_14127
1398960356.236230: executed: pan_12088, tilt_14156
1398960356.252191: executed: pan_12093, tilt_14170
1398960356.260186: executed: pan_12103, tilt_14198
1398960356.264397: executed: pan_12113, tilt_14227
1398960356.272454: executed: pan_12117, tilt_14241
1398960356.282219: executed: pan_12126, tilt_14269
1398960356.292473: executed: pan_12130, tilt_14282
1398960356.300438: executed: pan_12137, tilt_14310
1398960356.316185: executed: pan_12143, tilt_14338
1398960356.328026: executed: pan_12146, tilt_14351
1398960356.332481: executed: pan_12150, tilt_14379
1398960356.348838: executed: pan_12152, tilt_14392
1398960356.365836: executed: pan_12156, tilt_14419
1398960356.392203: executed: pan_12158, tilt_14446
1398960356.424337: executed: pan_12159, tilt_14460
1398960356.468282: executed: pan_12160, tilt_14487
1398960356.480428: executed: pan_12160, tilt_14500
1398960356.704301: executed: pan_12397, tilt_14500
1398960356.728776: executed: pan_12456, tilt_14500
1398960356.748856: executed: pan_12575, tilt_14500
1398960356.760452: executed: pan_12574, tilt_14512
1398960356.768173: executed: pan_12632, tilt_14538
1398960356.776291: executed: pan_12631, tilt_14550
1398960356.784439: executed: pan_12628, tilt_14576
1398960356.796279: executed: pan_12624, tilt_14602
1398960356.810439: executed: pan_12622, tilt_14614
1398960356.812209: executed: pan_12740, tilt_14612
1398960356.824324: executed: pan_12734, tilt_14638
1398960356.836043: executed: pan_12843, tilt_14661
1398960356.843977: executed: pan_12839, tilt_14673
1398960356.852309: executed: pan_12830, tilt_14699
1398960356.857191: executed: pan_12888, tilt_14697
1398960356.868208: executed: pan_12877, tilt_14722
1398960356.880720: executed: pan_12993, tilt_14718
1398960356.884168: executed: pan_12987, tilt_14731
1398960356.896345: executed: pan_12974, tilt_14757
1398960356.908307: executed: pan_12968, tilt_14770
1398960356.922589: executed: pan_13067, tilt_14790
1398960356.929547: executed: pan_13051, tilt_14817
1398960356.944226: executed: pan_13043, tilt_14830
1398960356.951977: executed: pan_13099, tilt_14827
1398960356.956219: executed: pan_13082, tilt_14854
1398960356.971966: executed: pan_13064, tilt_14881
1398960356.980450: executed: pan_13164, tilt_14888
1398960356.988293: executed: pan_13144, tilt_14916
1398960357.000316: executed: pan_13253, tilt_14908
1398960357.004406: executed: pan_13231, tilt_14936
1398960357.016063: executed: pan_13221, tilt_14951
1398960357.026134: executed: pan_13274, tilt_14947
1398960357.032664: executed: pan_13252, tilt_14975
1398960357.040080: executed: pan_13357, tilt_14967
1398960357.044200: executed: pan_13333, tilt_14997
1398960357.056071: executed: pan_13322, tilt_15011
1398960357.069682: executed: pan_13400, tilt_15033
1398960357.072428: executed: pan_13388, tilt_15048
1398960357.084330: executed: pan_13364, tilt_15079
1398960357.088205: executed: pan_13414, tilt_15075
1398960357.104318: executed: pan_13389, tilt_15106
1398960357.112344: executed: pan_13475, tilt_15113
1398960357.132303: executed: pan_13450, tilt_15146
1398960357.136148: executed: pan_13499, tilt_15141
